name,productId,console,pc,cloud,category,storePath,newSinceDate
Forza Horizon 6 Standard Edition,9N431PX143P8,true,true,true,Ultimate Exclusive,-/9N431PX143P8,
Frog Sqwad,9N16RZ0S50V2,true,true,true,Ultimate Exclusive,-/9N16RZ0S50V2,
Halo Wars: Definitive Edition (PC),9NBLGGH5WLR0,false,true,false,Ultimate Exclusive,-/9NBLGGH5WLR0,
Halo: Campaign Evolved - Standard Edition,9N6J4RNFPKKL,true,true,true,Ultimate Exclusive,-/9N6J4RNFPKKL,2026-07-29
Heroes of Might and Magic 3 - Complete Edition,9P5241RBH1SZ,false,true,false,Ultimate Exclusive,-/9P5241RBH1SZ,
Heroes of Might and Magic II - Gold Edition,9NSB55HX1GGN,false,true,false,Ultimate Exclusive,-/9NSB55HX1GGN,
Heroes of Might and Magic: Olden Era (Game Preview),9P2TFCCRKMRD,false,true,false,Ultimate Exclusive,-/9P2TFCCRKMRD,
High On Life 2,9NF6XPSBTTGB,true,true,true,Ultimate Exclusive,-/9NF6XPSBTTGB,
inKONBINI: One Store. Many Stories,9NVV0M74W05C,true,true,true,Ultimate Exclusive,-/9NVV0M74W05C,
Junkster,9NZPKBFF0CV9,true,true,true,Ultimate Exclusive,-/9NZPKBFF0CV9,
Keeper,9NCJWHHMVHR0,true,true,true,Ultimate Exclusive,-/9NCJWHHMVHR0,
Kiln,9MW53ZKZH168,true,true,true,Ultimate Exclusive,-/9MW53ZKZH168,
Luna Abyss,9PLBH9J0XGR8,true,true,true,Ultimate Exclusive,-/9PLBH9J0XGR8,
MARVEL Cosmic Invasion,9N79TQTZTQQ4,true,true,true,Ultimate Exclusive,-/9N79TQTZTQQ4,
Mistfall Hunter,9P8X6TVW9ZW8,true,true,true,Ultimate Exclusive,-/9P8X6TVW9ZW8,2026-07-30
Mixtape,9NH0MSG29X6L,true,true,true,Ultimate Exclusive,-/9NH0MSG29X6L,
Moonlighter 2: The Endless Vault (Game Preview),9NDJX252Q5BW,false,true,false,Ultimate Exclusive,-/9NDJX252Q5BW,
MOTORSLICE,9P0073G9FW5Z,true,true,true,Ultimate Exclusive,-/9P0073G9FW5Z,
NINJA GAIDEN 4 Standard Edition,9N7358JZPX1Z,true,true,true,Ultimate Exclusive,-/9N7358JZPX1Z,
Nova Roma (Game Preview),9NBNFBQ546DT,false,true,false,Ultimate Exclusive,-/9NBNFBQ546DT,
Outbound,9PFWZMT737GG,true,true,true,Ultimate Exclusive,-/9PFWZMT737GG,
Planet of Lana II,9PL89B9HCZ9W,true,true,true,Ultimate Exclusive,-/9PL89B9HCZ9W,
REPLACED,9NV3L234VGXD,true,true,true,Ultimate Exclusive,-/9NV3L234VGXD,
Resonance: A Plague Tale Legacy,9PPBNCXP0096,true,true,true,Ultimate Exclusive,-/9PPBNCXP0096,2026-08-27
Roadside Research (Game Preview),9PFNXM9G4N83,true,true,true,Ultimate Exclusive,-/9PFNXM9G4N83,
Rocket League®,C125W9BG2K0V,true,false,false,Ultimate Exclusive,-/C125W9BG2K0V,
ROUTINE,9PCJT6TLCGGV,true,true,true,Ultimate Exclusive,-/9PCJT6TLCGGV,
Sandustry (Game Preview),9PPH71DV44T7,false,true,false,Ultimate Exclusive,-/9PPH71DV44T7,2026-08-14
Shift At Midnight,9N0WDPMXNHWN,true,true,true,Ultimate Exclusive,-/9N0WDPMXNHWN,
Sledding Game,9N9C1TB18R3B,true,true,true,Ultimate Exclusive,-/9N9C1TB18R3B,
Solarpunk,9N8BRH7PGJMJ,true,true,true,Ultimate Exclusive,-/9N8BRH7PGJMJ,
STARSEEKER: Astroneer Expeditions (Game Preview),9NTZH69PZSH0,true,true,true,Ultimate Exclusive,-/9NTZH69PZSH0,
Subnautica 2 (Game Preview),9PJPCB188SVG,true,true,true,Ultimate Exclusive,-/9PJPCB188SVG,
Super Meat Boy 3D,9NJ67TQQ51Z0,true,true,true,Ultimate Exclusive,-/9NJ67TQQ51Z0,
Tears of Metal (Game Preview),9PN8M16GG8M4,false,true,false,Ultimate Exclusive,-/9PN8M16GG8M4,
TerraTech Legion,9NG66K0Z31LH,true,true,true,Ultimate Exclusive,-/9NG66K0Z31LH,
The Outer Worlds 2,9P8RMKXRML7D,true,true,true,Ultimate Exclusive,-/9P8RMKXRML7D,
The Rogue Prince of Persia™,9P7M1VCXKQVD,true,true,true,Ultimate Exclusive,-/9P7M1VCXKQVD,
Ultimate Sheep Raccoon,9P1H8K2V0NNP,true,true,true,Ultimate Exclusive,-/9P1H8K2V0NNP,
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,9NMPVJ7TCFD0,true,true,true,Ultimate Exclusive,-/9NMPVJ7TCFD0,
Vapor World: Over The Mind (Game Preview),9N5VHX8KMVNV,true,true,true,Ultimate Exclusive,-/9N5VHX8KMVNV,2026-08-19
VOID/BREAKER (Game Preview),9N9K5QP9G3GL,false,true,false,Ultimate Exclusive,-/9N9K5QP9G3GL,
