name,productId,console,pc,cloud,category,storePath,newSinceDate
Rocket League®,C125W9BG2K0V,true,false,false,Ultimate Exclusive,-/C125W9BG2K0V,
ROUTINE,9PCJT6TLCGGV,true,true,true,Ultimate Exclusive,-/9PCJT6TLCGGV,
Sandustry (Game Preview),9PPH71DV44T7,false,true,false,Ultimate Exclusive,-/9PPH71DV44T7,2026-08-14
Sea of Solitude,C4060P46HH4D,true,true,false,EA Play,-/C4060P46HH4D,
Shift At Midnight,9N0WDPMXNHWN,true,true,true,Ultimate Exclusive,-/9N0WDPMXNHWN,
Sid Meier's Alpha Centauri™ Planetary Pack,9NDLJ3HM721L,false,true,false,EA Play,-/9NDLJ3HM721L,
Sim City 3000™ Unlimited,9PMZ9LB06T8D,false,true,false,EA Play,-/9PMZ9LB06T8D,
SimCity 2000™ Special Edition,9NFZSND3LPPN,false,true,false,EA Play,-/9NFZSND3LPPN,
SimCity™ 4 Deluxe Edition,9NGDQGHWZX13,false,true,false,EA Play,-/9NGDQGHWZX13,
SimCity™: Complete Edition,9NHMC3SJBGZK,false,true,false,EA Play,-/9NHMC3SJBGZK,
Skate 3,BNKDKQXMXRR2,true,false,true,EA Play,-/BNKDKQXMXRR2,
skate. (2007),C3QWNCV55VLL,true,false,true,EA Play,-/C3QWNCV55VLL,
Skull and Bones,BXF9VWKCD6QW,true,true,true,Ubisoft+ Classics,-/BXF9VWKCD6QW,
Sledding Game,9N9C1TB18R3B,true,true,true,Ultimate Exclusive,-/9N9C1TB18R3B,
Solarpunk,9N8BRH7PGJMJ,true,true,true,Ultimate Exclusive,-/9N8BRH7PGJMJ,
South Park: The Stick of Truth,9NQ26CN8MZ1R,false,true,false,Ubisoft+ Classics,-/9NQ26CN8MZ1R,
South Park™: The Stick of Truth ™,C0QDQ0KX4HDV,true,false,true,Ubisoft+ Classics,-/C0QDQ0KX4HDV,
SPORE™,9P6ZKL905TMT,false,true,false,EA Play,-/9P6ZKL905TMT,
SSX,BWK0Q0RQMH7V,true,false,false,EA Play,-/BWK0Q0RQMH7V,
STAR WARS Jedi: Fallen Order™,C2CSDTSCBZ0C,true,true,true,EA Play,-/C2CSDTSCBZ0C,
STAR WARS Jedi: Survivor™,9PGC82V0DXFS,true,true,true,EA Play,-/9PGC82V0DXFS,
STAR WARS Jedi: Survivor™ Xbox One,9PLRP6PHV6XP,true,false,false,EA Play,-/9PLRP6PHV6XP,
Star Wars Outlaws,9NLHVWSFB0FC,true,true,true,Ubisoft+ Classics,-/9NLHVWSFB0FC,
STAR WARS™ Battlefront™,BRXTM276DLPR,true,false,false,EA Play,-/BRXTM276DLPR,
STAR WARS™ Battlefront™ II,C0GWTPD0S8S1,true,false,true,EA Play,-/C0GWTPD0S8S1,
STAR WARS™ Battlefront™ II: Celebration Edition,9MXJZGJC7BJC,false,true,false,EA Play,-/9MXJZGJC7BJC,
STAR WARS™ Battlefront™ Ultimate Edition,9P5MMCTL8MFX,false,true,false,EA Play,-/9P5MMCTL8MFX,
STAR WARS™: Squadrons,BV9CWVQWNS4P,true,true,true,EA Play,-/BV9CWVQWNS4P,
Starlink: Battle for Atlas™,BT3KQ8HLLZ6K,true,true,true,Ubisoft+ Classics,-/BT3KQ8HLLZ6K,
Starsand Island,9P86LLDCL5CC,true,true,true,Ultimate Exclusive,-/9P86LLDCL5CC,
STARSEEKER: Astroneer Expeditions (Game Preview),9NTZH69PZSH0,true,true,true,Ultimate Exclusive,-/9NTZH69PZSH0,
STEEP,C350VBGGCL6P,true,true,true,Ubisoft+ Classics,-/C350VBGGCL6P,
Subnautica 2 (Game Preview),9PJPCB188SVG,true,true,true,Ultimate Exclusive,-/9PJPCB188SVG,
Super Meat Boy 3D,9NJ67TQQ51Z0,true,true,true,Ultimate Exclusive,-/9NJ67TQQ51Z0,
Super Mega Baseball 3,9NP6V9LFVJ87,true,true,true,EA Play,-/9NP6V9LFVJ87,
Super Mega Baseball™ 4,9N93V5M3TG4N,true,true,true,EA Play,-/9N93V5M3TG4N,
Tales of Kenzera™: ZAU,9NNNMBXFFG4W,true,true,true,EA Play,-/9NNNMBXFFG4W,
Tears of Metal (Game Preview),9PN8M16GG8M4,false,true,false,Ultimate Exclusive,-/9PN8M16GG8M4,
TerraTech Legion,9NG66K0Z31LH,true,true,true,Ultimate Exclusive,-/9NG66K0Z31LH,
The Crew Motorfest,9NC4PV16GVT1,false,true,false,Ubisoft+ Classics,-/9NC4PV16GVT1,
The Crew Motorfest - Xbox One,9PB5JN044BHZ,true,false,true,Ubisoft+ Classics,-/9PB5JN044BHZ,
The Crew Motorfest - Xbox Series X|S,9NTB0ZG811GR,true,false,true,Ubisoft+ Classics,-/9NTB0ZG811GR,
The Crew® 2,BV05F8VT7JJ4,true,true,true,Ubisoft+ Classics,-/BV05F8VT7JJ4,
The Outer Worlds 2,9P8RMKXRML7D,true,true,true,Ultimate Exclusive,-/9P8RMKXRML7D,
The Rogue Prince of Persia™,9P7M1VCXKQVD,true,true,true,Ultimate Exclusive,-/9P7M1VCXKQVD,
The Saboteur™,9PMVJR05PFJW,false,true,false,EA Play,-/9PMVJR05PFJW,
The Settlers: New Allies,9N10HHMXFFC5,false,true,false,Ubisoft+ Classics,-/9N10HHMXFFC5,
The Settlers®: New Allies,9NPGPDCXWJQ7,true,false,true,Ubisoft+ Classics,-/9NPGPDCXWJQ7,
The Sims™ 2 Legacy Collection,9N613NPQ9JJH,false,true,false,EA Play,-/9N613NPQ9JJH,
