name,productId,console,pc,category,storePath,newSinceDate
Halo Wars: Definitive Edition (PC),9NBLGGH5WLR0,false,true,Ultimate Exclusive,-/9NBLGGH5WLR0,
Heavy Weapon,BZ910SG8ML8X,true,false,EA Play,-/BZ910SG8ML8X,
Heretic + Hexen,9NC7NRD0CM11,true,true,Ultimate Exclusive,-/9NC7NRD0CM11,
Heroes of Might and Magic 3 - Complete Edition,9P5241RBH1SZ,false,true,Ultimate Exclusive,-/9P5241RBH1SZ,
Heroes of Might and Magic II - Gold Edition,9NSB55HX1GGN,false,true,Ultimate Exclusive,-/9NSB55HX1GGN,
Heroes of Might and Magic: Olden Era (Game Preview),9P2TFCCRKMRD,false,true,Ultimate Exclusive,-/9P2TFCCRKMRD,
High On Life 2,9NF6XPSBTTGB,true,true,Ultimate Exclusive,-/9NF6XPSBTTGB,
Hungry Shark World,9P57SQHVWND7,false,true,Ubisoft+ Classics,-/9P57SQHVWND7,
Hungry Shark® World,C3NHWKLR94M9,true,false,Ubisoft+ Classics,-/C3NHWKLR94M9,
Immortals of Aveum™,9NSD4HTWM8HT,true,true,EA Play,-/9NSD4HTWM8HT,
inKONBINI: One Store. Many Stories,9NVV0M74W05C,true,true,Ultimate Exclusive,-/9NVV0M74W05C,
It Takes Two,9NVQ4ZLJGMDV,false,true,EA Play,-/9NVQ4ZLJGMDV,
It Takes Two - Digital Version,9NXVC0482QS5,true,false,EA Play,-/9NXVC0482QS5,
Jade Empire™: Special Edition,9PJFC8RLNPH5,false,true,EA Play,-/9PJFC8RLNPH5,
Junkster,9NZPKBFF0CV9,true,true,Ultimate Exclusive,-/9NZPKBFF0CV9,
Keeper,9NCJWHHMVHR0,true,true,Ultimate Exclusive,-/9NCJWHHMVHR0,
Kiln,9MW53ZKZH168,true,true,Ultimate Exclusive,-/9MW53ZKZH168,
Lost in Random™,9NVRJS95FLM9,true,true,EA Play,-/9NVRJS95FLM9,
Luna Abyss,9PLBH9J0XGR8,true,true,Ultimate Exclusive,-/9PLBH9J0XGR8,
Madden NFL 25,9P3FG98R5X8F,false,true,EA Play,-/9P3FG98R5X8F,
Madden NFL 25 Xbox One,9NL9QN69HCL7,true,false,EA Play,-/9NL9QN69HCL7,
Madden NFL 25 Xbox Series X|S,9N0FWWQ94X62,true,false,EA Play,-/9N0FWWQ94X62,
MARVEL Cosmic Invasion,9N79TQTZTQQ4,true,true,Ultimate Exclusive,-/9N79TQTZTQQ4,
Mass Effect 2,C0Z1N477W100,true,false,EA Play,-/C0Z1N477W100,
Mass Effect 2 (2010 Edition),9MTP3NKHVWM6,false,true,EA Play,-/9MTP3NKHVWM6,
Mass Effect 3 (2012 Edition),9NQJCGMK9VVD,false,true,EA Play,-/9NQJCGMK9VVD,
Mass Effect™,9NVB51LMXLJF,false,true,EA Play,-/9NVB51LMXLJF,
Mass Effect™ 3,C040H652PD98,true,false,EA Play,-/C040H652PD98,
Mass Effect™ Legendary Edition,9PKWHT7G60WQ,true,true,EA Play,-/9PKWHT7G60WQ,
Mass Effect™: Andromeda,BZPR04V49BMH,true,false,EA Play,-/BZPR04V49BMH,
Mass Effect™: Andromeda Deluxe Edition,9NK4NC5LFCQ7,false,true,EA Play,-/9NK4NC5LFCQ7,
Medal of Honor Airborne,C43H00X6KZRJ,true,false,EA Play,-/C43H00X6KZRJ,
Medal of Honor Airborne™,9P28J28WGSPZ,false,true,EA Play,-/9P28J28WGSPZ,
MENACE (Game Preview),9NQCJ397CQ6P,false,true,Ultimate Exclusive,-/9NQCJ397CQ6P,
MIO: Memories in Orbit,9NP86K57SQM3,true,true,Ultimate Exclusive,-/9NP86K57SQM3,
Mirror's Edge,9PJPZ1DQD0WM,false,true,EA Play,-/9PJPZ1DQD0WM,
Mirror's Edge™,BP96WRTVD7C1,true,false,EA Play,-/BP96WRTVD7C1,
Mirror's Edge™ Catalyst,C48LBRJJCP2L,true,true,EA Play,-/C48LBRJJCP2L,
Mixtape,9NH0MSG29X6L,true,true,Ultimate Exclusive,-/9NH0MSG29X6L,
MONOPOLY 2024,9NVH8SJNX20S,false,true,Ubisoft+ Classics,-/9NVH8SJNX20S,
Monopoly Madness,9P0RGJND5SR0,true,false,Ubisoft+ Classics,-/9P0RGJND5SR0,
MONOPOLY Madness,9MTP0GJ0Q3MG,false,true,Ubisoft+ Classics,-/9MTP0GJ0Q3MG,
Monsters are Coming!,9PJBKF27C16M,false,true,Ultimate Exclusive,-/9PJBKF27C16M,
Moonlighter 2: The Endless Vault (Game Preview),9NDJX252Q5BW,false,true,Ultimate Exclusive,-/9NDJX252Q5BW,
MOTORSLICE,9P0073G9FW5Z,true,true,Ultimate Exclusive,-/9P0073G9FW5Z,
MySims™,9P9JZZ79KHDK,false,true,EA Play,-/9P9JZZ79KHDK,
MySims™ Kingdom,9NJ71RH89RJ5,false,true,EA Play,-/9NJ71RH89RJ5,
Need for Speed Rivals,C3VM0TMWNZ5M,true,false,EA Play,-/C3VM0TMWNZ5M,
Need for Speed™,BXWJNW4170RM,true,false,EA Play,-/BXWJNW4170RM,
Need for Speed™ Deluxe Edition,9NXLNL5JXBZJ,false,true,EA Play,-/9NXLNL5JXBZJ,
Need for Speed™ Heat,BRZZLBF5T245,true,false,EA Play,-/BRZZLBF5T245,
Need for Speed™ Heat Deluxe Edition,9NM857B8P3SC,false,true,EA Play,-/9NM857B8P3SC,
Need for Speed™ Hot Pursuit Remastered,9NMBJQ0265ZK,true,true,EA Play,-/9NMBJQ0265ZK,
Need for Speed™ Most Wanted,9N7H29G7G485,false,true,EA Play,-/9N7H29G7G485,
Need for Speed™ Payback,C355T88BBX1S,true,false,EA Play,-/C355T88BBX1S,
Need for Speed™ Payback - Deluxe Edition,9P00J6DXK9LX,false,true,EA Play,-/9P00J6DXK9LX,
Need for Speed™ Rivals: Complete Edition,9P1CWNG8F7B5,false,true,EA Play,-/9P1CWNG8F7B5,
Need for Speed™ Unbound,9PP837L3Q75D,true,true,EA Play,-/9PP837L3Q75D,
New MONOPOLY®,9P8H220G3S4P,true,false,Ubisoft+ Classics,-/9P8H220G3S4P,
NHL® 25 Xbox Series X|S,9PB3GGBSG27C,true,false,EA Play,-/9PB3GGBSG27C,
NHL® 26 Xbox Series X|S,9PC1KTWW5PB5,true,false,EA Play,-/9PC1KTWW5PB5,
NHL® 94 REWIND,9PDGC1Z6ZHTP,true,false,EA Play,-/9PDGC1Z6ZHTP,
NINJA GAIDEN 4 Standard Edition,9N7358JZPX1Z,true,true,Ultimate Exclusive,-/9N7358JZPX1Z,
Nova Roma (Game Preview),9NBNFBQ546DT,false,true,Ultimate Exclusive,-/9NBNFBQ546DT,
OddBallers™,9PMX3SK2RMG4,true,true,Ubisoft+ Classics,-/9PMX3SK2RMG4,
Outbound,9PFWZMT737GG,true,true,Ultimate Exclusive,-/9PFWZMT737GG,
Peggle,BSCCQL7DZ9KD,true,false,EA Play,-/BSCCQL7DZ9KD,
Peggle 2,BNCZHKWRZ7BR,true,false,EA Play,-/BNCZHKWRZ7BR,
Peggle®,9MVPD3Z5N4QL,false,true,EA Play,-/9MVPD3Z5N4QL,
Peggle® Nights,9P3SX4QXR5MD,false,true,EA Play,-/9P3SX4QXR5MD,
Planet of Lana II,9PL89B9HCZ9W,true,true,Ultimate Exclusive,-/9PL89B9HCZ9W,
Plants vs. Zombies,BR1D9CR82ZM8,true,false,EA Play,-/BR1D9CR82ZM8,
Plants vs. Zombies Garden Warfare,BTJ0T8C04ZBV,true,true,EA Play,-/BTJ0T8C04ZBV,
Plants vs. Zombies: Battle for Neighborville™,C4HZC7LJG6PX,true,false,EA Play,-/C4HZC7LJG6PX,
Plants vs. Zombies: Battle for Neighborville™ Deluxe Edition,9NRTXWCZ2ZJ0,false,true,EA Play,-/9NRTXWCZ2ZJ0,
Plants vs. Zombies™ Game of the Year Edition,9MTNPX4WLP10,false,true,EA Play,-/9MTNPX4WLP10,
Plants vs. Zombies™ Garden Warfare 2,BNRH7BRC1D02,true,false,EA Play,-/BNRH7BRC1D02,
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,9MTVHJXXF3K9,false,true,EA Play,-/9MTVHJXXF3K9,
Populous™,9N7LPX50LSCH,false,true,EA Play,-/9N7LPX50LSCH,
Populous™ II: Trials of the Olympian Gods,9PHNM1C4T968,false,true,EA Play,-/9PHNM1C4T968,
Populous™: The Beginning,9PKZN9K2HXJ9,false,true,EA Play,-/9PKZN9K2HXJ9,
PowerWash Simulator 2,9P45GGDTFNSM,true,true,Ultimate Exclusive,-/9P45GGDTFNSM,
Prince of Persia The Lost Crown,9P4LSLG7B8CT,true,true,Ubisoft+ Classics,-/9P4LSLG7B8CT,
Rabbids Invasion : The Interactive TV Show,BXZ0JDCPRV6C,true,false,Ubisoft+ Classics,-/BXZ0JDCPRV6C,
Rabbids®: Party of Legends,9PLF73SS7M6J,true,true,Ubisoft+ Classics,-/9PLF73SS7M6J,
Rayman Legends,C26K4DVGR45B,true,false,Ubisoft+ Classics,-/C26K4DVGR45B,
RAYMAN LEGENDS,9NQ4M2DG11L0,false,true,Ubisoft+ Classics,-/9NQ4M2DG11L0,
Relooted,9PPP5344B3LS,true,true,Ultimate Exclusive,-/9PPP5344B3LS,
REPLACED,9NV3L234VGXD,true,true,Ultimate Exclusive,-/9NV3L234VGXD,
Risk: Urban Assault,BTDRTXBKDBRR,true,false,Ubisoft+ Classics,-/BTDRTXBKDBRR,
Roadside Research (Game Preview),9PFNXM9G4N83,true,true,Ultimate Exclusive,-/9PFNXM9G4N83,
Rocket League®,C125W9BG2K0V,true,false,Ultimate Exclusive,-/C125W9BG2K0V,
ROUTINE,9PCJT6TLCGGV,true,true,Ultimate Exclusive,-/9PCJT6TLCGGV,
Sea of Solitude,C4060P46HH4D,true,true,EA Play,-/C4060P46HH4D,
Shift At Midnight,9N0WDPMXNHWN,true,true,Ultimate Exclusive,-/9N0WDPMXNHWN,
Sid Meier's Alpha Centauri™ Planetary Pack,9NDLJ3HM721L,false,true,EA Play,-/9NDLJ3HM721L,
Sim City 3000™ Unlimited,9PMZ9LB06T8D,false,true,EA Play,-/9PMZ9LB06T8D,
SimCity 2000™ Special Edition,9NFZSND3LPPN,false,true,EA Play,-/9NFZSND3LPPN,
SimCity™ 4 Deluxe Edition,9NGDQGHWZX13,false,true,EA Play,-/9NGDQGHWZX13,
SimCity™: Complete Edition,9NHMC3SJBGZK,false,true,EA Play,-/9NHMC3SJBGZK,
Skate 3,BNKDKQXMXRR2,true,false,EA Play,-/BNKDKQXMXRR2,
skate. (2007),C3QWNCV55VLL,true,false,EA Play,-/C3QWNCV55VLL,
Skull and Bones,BXF9VWKCD6QW,true,true,Ubisoft+ Classics,-/BXF9VWKCD6QW,
Sledding Game,9N9C1TB18R3B,true,true,Ultimate Exclusive,-/9N9C1TB18R3B,
Solarpunk,9N8BRH7PGJMJ,true,true,Ultimate Exclusive,-/9N8BRH7PGJMJ,
South Park: The Stick of Truth,9NQ26CN8MZ1R,false,true,Ubisoft+ Classics,-/9NQ26CN8MZ1R,
South Park™: The Stick of Truth ™,C0QDQ0KX4HDV,true,false,Ubisoft+ Classics,-/C0QDQ0KX4HDV,
SPORE™,9P6ZKL905TMT,false,true,EA Play,-/9P6ZKL905TMT,
SSX,BWK0Q0RQMH7V,true,false,EA Play,-/BWK0Q0RQMH7V,
STAR WARS Jedi: Fallen Order™,C2CSDTSCBZ0C,true,true,EA Play,-/C2CSDTSCBZ0C,
STAR WARS Jedi: Survivor™,9PGC82V0DXFS,true,true,EA Play,-/9PGC82V0DXFS,
STAR WARS Jedi: Survivor™ Xbox One,9PLRP6PHV6XP,true,false,EA Play,-/9PLRP6PHV6XP,
Star Wars Outlaws,9NLHVWSFB0FC,true,true,Ubisoft+ Classics,-/9NLHVWSFB0FC,
STAR WARS™ Battlefront™,BRXTM276DLPR,true,false,EA Play,-/BRXTM276DLPR,
STAR WARS™ Battlefront™ II,C0GWTPD0S8S1,true,false,EA Play,-/C0GWTPD0S8S1,
STAR WARS™ Battlefront™ II: Celebration Edition,9MXJZGJC7BJC,false,true,EA Play,-/9MXJZGJC7BJC,
STAR WARS™ Battlefront™ Ultimate Edition,9P5MMCTL8MFX,false,true,EA Play,-/9P5MMCTL8MFX,
STAR WARS™: Squadrons,BV9CWVQWNS4P,true,true,EA Play,-/BV9CWVQWNS4P,
Starlink: Battle for Atlas™,BT3KQ8HLLZ6K,true,true,Ubisoft+ Classics,-/BT3KQ8HLLZ6K,
Starsand Island,9P86LLDCL5CC,true,true,Ultimate Exclusive,-/9P86LLDCL5CC,
STARSEEKER: Astroneer Expeditions (Game Preview),9NTZH69PZSH0,true,true,Ultimate Exclusive,-/9NTZH69PZSH0,
STEEP,C350VBGGCL6P,true,true,Ubisoft+ Classics,-/C350VBGGCL6P,
Subnautica 2 (Game Preview),9PJPCB188SVG,true,true,Ultimate Exclusive,-/9PJPCB188SVG,
Super Meat Boy 3D,9NJ67TQQ51Z0,true,true,Ultimate Exclusive,-/9NJ67TQQ51Z0,
Super Mega Baseball 3,9NP6V9LFVJ87,true,true,EA Play,-/9NP6V9LFVJ87,
Super Mega Baseball™ 4,9N93V5M3TG4N,true,true,EA Play,-/9N93V5M3TG4N,
Tales of Kenzera™: ZAU,9NNNMBXFFG4W,true,true,EA Play,-/9NNNMBXFFG4W,
Tears of Metal (Game Preview),9PN8M16GG8M4,false,true,Ultimate Exclusive,-/9PN8M16GG8M4,
TerraTech Legion,9NG66K0Z31LH,true,true,Ultimate Exclusive,-/9NG66K0Z31LH,
The Crew Motorfest,9NC4PV16GVT1,false,true,Ubisoft+ Classics,-/9NC4PV16GVT1,
The Crew Motorfest - Xbox One,9PB5JN044BHZ,true,false,Ubisoft+ Classics,-/9PB5JN044BHZ,
The Crew Motorfest - Xbox Series X|S,9NTB0ZG811GR,true,false,Ubisoft+ Classics,-/9NTB0ZG811GR,
The Crew® 2,BV05F8VT7JJ4,true,true,Ubisoft+ Classics,-/BV05F8VT7JJ4,
The Outer Worlds 2,9P8RMKXRML7D,true,true,Ultimate Exclusive,-/9P8RMKXRML7D,
The Rogue Prince of Persia™,9P7M1VCXKQVD,true,true,Ultimate Exclusive,-/9P7M1VCXKQVD,
The Saboteur™,9PMVJR05PFJW,false,true,EA Play,-/9PMVJR05PFJW,
The Settlers: New Allies,9N10HHMXFFC5,false,true,Ubisoft+ Classics,-/9N10HHMXFFC5,
The Settlers®: New Allies,9NPGPDCXWJQ7,true,false,Ubisoft+ Classics,-/9NPGPDCXWJQ7,
The Sims™ 2 Legacy Collection,9N613NPQ9JJH,false,true,EA Play,-/9N613NPQ9JJH,
The Sims™ 3 Starter Pack,9N15KXND91S0,false,true,EA Play,-/9N15KXND91S0,
The Sims™ 4 EA Play Edition,9PLFD17M47K3,true,true,EA Play,-/9PLFD17M47K3,
The Sims™ Legacy Collection,9PDZ14P56XRD,false,true,EA Play,-/9PDZ14P56XRD,
Titanfall® 2,C0X2HNVH08FB,true,false,EA Play,-/C0X2HNVH08FB,
Titanfall® 2: Ultimate Edition,9NDP79SDLLLH,false,true,EA Play,-/9NDP79SDLLLH,
Tom Clancy's Ghost Recon Breakpoint,C3VVNLQQ54F8,true,false,Ubisoft+ Classics,-/C3VVNLQQ54F8,
