name,productId,console,pc,category,storePath,newSinceDate
Full Throttle Remastered,9P3ZRGNQVC7D,true,true,Essential,-/9P3ZRGNQVC7D,
Fuzion Frenzy®,C2P985H1H42H,true,true,Essential,-/C2P985H1H42H,
Gang Beasts,BPQZT43FWD49,true,true,Essential,-/BPQZT43FWD49,
Gears 5 Game of the Year Edition,9P4KMR76PLLQ,true,true,Essential,-/9P4KMR76PLLQ,
Grounded,9PJTHRNVH62H,true,true,Essential,-/9PJTHRNVH62H,
Hades,9P8DL6W0JBB8,true,true,Essential,-/9P8DL6W0JBB8,
Halo 5: Guardians,BRRC2BP0G9P0,true,false,Essential,-/BRRC2BP0G9P0,
Halo Wars 2: Standard Edition,C42KCJCLX6MX,true,true,Essential,-/C42KCJCLX6MX,
Hellblade: Senua's Sacrifice,C4Z7QM8FSXM2,true,true,Essential,-/C4Z7QM8FSXM2,
Human Fall Flat,BSMZH25V6V46,true,true,Essential,-/BSMZH25V6V46,
INSIDE,C17GQF31D617,true,true,Essential,-/C17GQF31D617,
Jetpac Refuelled,BRRVN5198461,true,false,Essential,-/BRRVN5198461,
Kameo,BV83SM3191S5,true,false,Essential,-/BV83SM3191S5,
LIMBO,BTQMHK78ZPF9,true,true,Essential,-/BTQMHK78ZPF9,
MASSIVE CHALICE,C2484ZR2BWNQ,true,false,Essential,-/C2484ZR2BWNQ,
Max: The Curse of Brotherhood,C0SFCF4PBRSZ,true,false,Essential,-/C0SFCF4PBRSZ,
Medieval Dynasty,9PDDP6ML6XHF,true,true,Essential,-/9PDDP6ML6XHF,
Medieval Dynasty (Xbox One),9N2PS831S84N,true,false,Essential,-/9N2PS831S84N,
Monster Sanctuary,9MZNS9NZ97PF,true,false,Essential,-/9MZNS9NZ97PF,
Monster Sanctuary (Windows Version),9PBWWQGXVMKC,false,true,Essential,-/9PBWWQGXVMKC,
Neon Abyss,9NC781DK18GN,true,true,Essential,-/9NC781DK18GN,
Ori and the Will of the Wisps,9N8CD0XZKLP4,true,true,Essential,-/9N8CD0XZKLP4,
Overcooked! 2,BVJLKDG2TX8H,true,true,Essential,-/BVJLKDG2TX8H,
Perfect Dark Zero,BZF7N4FQWHNR,true,false,Essential,-/BZF7N4FQWHNR,
Psychonauts 2,9NBR2VXT87SJ,true,true,Essential,-/9NBR2VXT87SJ,
Shadowrun Returns,9N6PHQ93Z451,true,false,Essential,-/9N6PHQ93Z451,
Shadowrun Returns PC,9NF0RBL8SZL6,false,true,Essential,-/9NF0RBL8SZL6,
Shadowrun: Dragonfall - Director's Cut,9PKJTP6DTND3,true,false,Essential,-/9PKJTP6DTND3,
Shadowrun: Dragonfall - Director's Cut PC,9NMCRMS6WN78,false,true,Essential,-/9NMCRMS6WN78,
Shadowrun: Hong Kong - Extended Edition,9N7V5R3VLMJZ,true,false,Essential,-/9N7V5R3VLMJZ,
Shadowrun: Hong Kong - Extended Edition PC,9NK2DT3K7DTF,false,true,Essential,-/9NK2DT3K7DTF,
SnowRunner,9PNRSC0J6DT8,true,false,Essential,-/9PNRSC0J6DT8,
SnowRunner - Windows,9NP6WL1XQDBW,false,true,Essential,-/9NP6WL1XQDBW,
Spiritfarer®: Farewell Edition,9NG5L58FD3X5,true,true,Essential,-/9NG5L58FD3X5,
Stacking,C042M8GWKS34,true,false,Essential,-/C042M8GWKS34,
Stardew Valley,C3D891Z6TNQM,true,true,Essential,-/C3D891Z6TNQM,
State of Decay 2: Juggernaut Edition,9NT4X7P8B9NB,true,true,Essential,-/9NT4X7P8B9NB,
SUPERHOT: MIND CONTROL DELETE,9NRH78B682L8,true,true,Essential,-/9NRH78B682L8,
Superliminal,9NVR4ZQKNBSB,true,true,Essential,-/9NVR4ZQKNBSB,
The Bard's Tale Trilogy,9MVN4ND41DD3,true,true,Essential,-/9MVN4ND41DD3,
The Elder Scrolls Online: Standard Edition,BRKX5CRMRTC2,true,true,Essential,-/BRKX5CRMRTC2,
Totally Reliable Delivery Service,9NZG72SH3H4W,true,true,Essential,-/9NZG72SH3H4W,
TUNIC,9NLRT31Z4RWM,true,true,Essential,-/9NLRT31Z4RWM,
Vampire Survivors,9PD5BM2Z8C4L,true,true,Essential,-/9PD5BM2Z8C4L,
"Warhammer 40,000: Darktide",9NT3WC6RKBVQ,true,true,Essential,-/9NT3WC6RKBVQ,
Warhammer: Vermintide 2,BXZWT67JBZJH,true,false,Essential,-/BXZWT67JBZJH,
World War Z: Aftermath,9PLCL2VB2SC0,true,true,Essential,-/9PLCL2VB2SC0,
Wreckfest,BRJNRZ9N734V,true,true,Essential,-/BRJNRZ9N734V,
